mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000005,2022-05-07T04:17:18.000Z,0,0.4359,4.0045,NaN,Infinity,Infinity,NaN
,,321.875,0.6131,0.1844,0.115,0.3032,0.0912,0.0569
,,325,0.3497,0.3305,0.2491,0.1713,0.1618,0.122
,,328.125,0.6059,0.2587,0.2539,0.2939,0.1255,0.1232
,,331.25,0.1605,0.091,0.1748,0.0771,0.0437,0.084
,,334.375,0.1629,0.1413,0.1126,0.0775,0.0673,0.0536
,,337.5,0.1054,0.2108,0.1581,0.0497,0.0994,0.0746
,,340.625,0.1078,0.1006,0.1078,0.0504,0.047,0.0504
,,343.75,0.2179,0.2132,0.0695,0.1009,0.0987,0.0322
,,346.875,0.1964,0.1126,NaN,0.0901,0.0517,NaN
,,350,0.1844,0.1006,NaN,0.0839,0.0457,NaN
,,353.125,0.3161,0.0503,NaN,0.1425,0.0227,NaN
,,356.25,0.273,0.0695,NaN,0.122,0.031,NaN
,,359.375,0.2443,0.091,NaN,0.1082,0.0403,NaN
,,362.5,0.1605,0.2156,NaN,0.0705,0.0947,NaN
,,365.625,0.1677,0.0575,NaN,0.073,0.025,NaN
,,368.75,0.5221,NaN,NaN,0.2253,NaN,NaN
,,371.875,0.6395,NaN,NaN,0.2737,NaN,NaN
,,375,0.1461,NaN,NaN,0.062,NaN,NaN
,,378.125,0.206,NaN,NaN,0.0867,NaN,NaN
,,381.25,0.103,NaN,NaN,0.043,NaN,NaN
,,384.375,0.2036,NaN,NaN,0.0843,NaN,NaN
,,387.5,0.1221,NaN,NaN,0.0501,NaN,NaN
,,390.625,0.6036,NaN,NaN,0.2459,NaN,NaN
,,393.75,0.1916,NaN,NaN,0.0774,NaN,NaN
,,396.875,0.3593,NaN,NaN,0.1441,NaN,NaN
,,400,0.3593,NaN,NaN,0.143,NaN,NaN
,,403.125,0.1413,0,NaN,0.0558,0,NaN
,,406.25,0.0455,0.1916,NaN,0.0178,0.0751,NaN
,,409.375,0.2778,0.1916,NaN,0.108,0.0745,NaN
,,412.5,0.2994,0.0862,NaN,0.1155,0.0333,NaN
,,415.625,0.4455,0.1796,NaN,0.1706,0.0688,NaN
,,418.75,0.4119,0.0814,0.1485,0.1566,0.0309,0.0564
,,421.875,0.2802,0.1102,0.0766,0.1057,0.0416,0.0289
,,425,0.4048,0.0527,0.0695,0.1516,0.0197,0.026
,,428.125,0.0695,0.0431,0.0934,0.0258,0.016,0.0347
,,431.25,0.0814,0.1245,0.0982,0.03,0.0459,0.0362
,,434.375,0.0287,0.1413,0.1365,0.0105,0.0518,0.05
,,437.5,0.2251,0.0479,0.1245,0.0819,0.0174,0.0453
,,440.625,0.2491,NaN,0.2227,0.09,NaN,0.0804
,,443.75,0.1365,NaN,0.0359,0.049,NaN,0.0129
,,446.875,0.3114,NaN,0.0934,0.1109,NaN,0.0333
,,450,0.115,NaN,0.0575,0.0407,NaN,0.0203
,,453.125,0.3018,NaN,NaN,0.106,NaN,NaN
,,456.25,0.2898,NaN,NaN,0.1011,NaN,NaN
,,459.375,0.3161,NaN,NaN,0.1095,NaN,NaN
,,462.5,0.3401,NaN,NaN,0.117,NaN,NaN
,,465.625,0.1245,NaN,NaN,0.0426,NaN,NaN
,,468.75,0.3521,NaN,NaN,0.1195,NaN,NaN
,,471.875,0.1653,NaN,NaN,0.0558,NaN,NaN
,,475,0.0647,NaN,NaN,0.0217,NaN,NaN
,,478.125,0.0335,NaN,NaN,0.0112,NaN,NaN
,,481.25,0.3784,NaN,NaN,0.1251,NaN,NaN
,,484.375,0.1677,NaN,NaN,0.0551,NaN,NaN
,,487.5,0.1341,NaN,NaN,0.0438,NaN,NaN
,,490.625,0.2659,NaN,NaN,0.0863,NaN,NaN
,,493.75,0.0982,NaN,NaN,0.0317,NaN,NaN
,,496.875,0.3209,NaN,NaN,0.1028,NaN,NaN
,,500,0.2251,NaN,NaN,0.0717,NaN,NaN
,,503.125,0.0623,NaN,NaN,0.0197,NaN,NaN
,,506.25,0.1509,NaN,NaN,0.0474,NaN,NaN
,,509.375,0.2251,NaN,NaN,0.0703,NaN,NaN
,,512.5,0.1892,NaN,NaN,0.0588,NaN,NaN
,,515.625,0.2874,NaN,NaN,0.0887,NaN,NaN
,,518.75,0.182,NaN,NaN,0.0558,NaN,NaN
,,521.875,0.2179,NaN,NaN,0.0665,NaN,NaN
,,525,0.3784,NaN,NaN,0.1147,NaN,NaN
,,528.125,0.1485,NaN,NaN,0.0448,NaN,NaN
,,531.25,0.091,NaN,NaN,0.0273,NaN,NaN
,,534.375,0.3473,NaN,NaN,0.1034,NaN,NaN
,,537.5,0.1293,NaN,NaN,0.0383,NaN,NaN
,,540.625,0.1748,NaN,NaN,0.0515,NaN,NaN
,,543.75,0.0934,NaN,NaN,0.0273,NaN,NaN
,,546.875,0.115,NaN,NaN,0.0335,NaN,NaN
,,550,0.1413,NaN,NaN,0.0409,NaN,NaN
,,553.125,0.1245,NaN,NaN,0.0358,NaN,NaN
,,556.25,0.1437,NaN,NaN,0.0411,NaN,NaN
,,559.375,0.1221,NaN,NaN,0.0347,NaN,NaN
,,562.5,0.2443,NaN,0.1413,0.0691,NaN,0.04
,,565.625,0.2515,NaN,0.103,0.0708,NaN,0.029
,,568.75,0.079,NaN,0.103,0.0221,NaN,0.0288
,,571.875,0.0479,NaN,0.0575,0.0133,NaN,0.016
,,575,0.1629,NaN,0.1054,0.0451,NaN,0.0292
,,578.125,0.0982,NaN,0.1006,0.027,NaN,0.0277
,,581.25,0.0766,NaN,0.1485,0.021,NaN,0.0407
,,584.375,0.0551,NaN,0.079,0.015,NaN,0.0215
,,587.5,0.206,NaN,0.1988,0.0558,NaN,0.0539
,,590.625,0.0359,NaN,0.2108,0.0097,NaN,0.0568
,,593.75,0.0719,NaN,0.0719,0.0193,NaN,0.0193
,,596.875,0.1557,NaN,0.1006,0.0415,NaN,0.0268
,,600,0.2826,NaN,0.0144,0.075,NaN,0.0038
,,603.125,0.1317,NaN,0.1677,0.0348,NaN,0.0443
,,606.25,NaN,NaN,0.2563,NaN,NaN,0.0673
,,609.375,NaN,NaN,0.0192,NaN,NaN,0.005
,,612.5,NaN,NaN,0.0934,NaN,NaN,0.0243
,,615.625,NaN,NaN,0.1581,NaN,NaN,0.0409
,,618.75,NaN,0,0.1964,NaN,0,0.0505
,,621.875,NaN,0.0527,0.0647,NaN,0.0135,0.0166
,,625,NaN,0.0862,0.024,NaN,0.022,0.0061
,,628.125,NaN,0.1078,0.0335,NaN,0.0273,0.0085
,,631.25,NaN,0.1054,0.1102,NaN,0.0266,0.0278
,,634.375,NaN,0.0072,0.0671,NaN,0.0018,0.0168
,,637.5,NaN,0.0814,0.0479,NaN,0.0203,0.012
,,640.625,NaN,0.0695,0.1174,NaN,0.0173,0.0292
,,643.75,NaN,0.1293,0.0479,NaN,0.032,0.0118
,,646.875,NaN,0.0766,0.0862,NaN,0.0188,0.0212
,,650,NaN,0.0407,0.0575,NaN,0.01,0.0141
,,653.125,NaN,0.0838,0.0695,NaN,0.0204,0.0169
,,656.25,NaN,0.0575,0.0383,NaN,0.0139,0.0093
,,659.375,NaN,0.2323,0.0886,NaN,0.0561,0.0214
,,662.5,NaN,0.0623,0.0263,NaN,0.015,0.0063
,,665.625,NaN,0.1174,0.0383,NaN,0.0281,0.0092
,,668.75,NaN,0.0695,NaN,NaN,0.0165,NaN
,,671.875,NaN,0.0575,NaN,NaN,0.0136,NaN
,,675,NaN,0.1461,NaN,NaN,0.0344,NaN
,,678.125,0.2251,0.1389,NaN,0.0528,0.0326,NaN
,,681.25,0.3497,0.1174,NaN,0.0817,0.0274,NaN
,,684.375,0.1796,0.0311,NaN,0.0418,0.0072,NaN
,,687.5,0.0719,0.0407,NaN,0.0166,0.0094,NaN
,,690.625,0.1892,NaN,NaN,0.0436,NaN,NaN
,,693.75,0.1557,NaN,NaN,0.0357,NaN,NaN
,,696.875,0.182,NaN,NaN,0.0416,NaN,NaN
,,700,0.17,NaN,NaN,0.0387,NaN,NaN
,,703.125,0,NaN,NaN,0,NaN,NaN
,,706.25,0.0719,NaN,0.0192,0.0162,NaN,0.0043
,,709.375,0.0623,NaN,0.0335,0.014,NaN,0.0075
,,712.5,NaN,NaN,0.0862,NaN,NaN,0.0193
,,715.625,NaN,NaN,0.0934,NaN,NaN,0.0208
,,718.75,NaN,NaN,0.0431,NaN,NaN,0.0095
,,721.875,NaN,NaN,0.0671,NaN,NaN,0.0148
,,725,NaN,NaN,0.0287,NaN,NaN,0.0063
,,728.125,NaN,NaN,0.0862,NaN,NaN,0.0188
,,731.25,NaN,NaN,0.0527,NaN,NaN,0.0115
,,734.375,NaN,NaN,0.0766,NaN,NaN,0.0166
,,737.5,NaN,NaN,0.0862,NaN,NaN,0.0186
,,740.625,NaN,NaN,0.0527,NaN,NaN,0.0113
,,743.75,NaN,NaN,0.079,NaN,NaN,0.0169
,,746.875,NaN,NaN,0.0048,NaN,NaN,0.001
,,750,NaN,NaN,0.0719,NaN,NaN,0.0153
,,753.125,NaN,NaN,0.0431,NaN,NaN,0.0091
,,756.25,NaN,NaN,0.0862,NaN,NaN,0.0181
,,759.375,NaN,NaN,0.0814,NaN,NaN,0.0171
,,762.5,NaN,0,0.0431,NaN,0,0.009
,,765.625,NaN,0.0958,0.0527,NaN,0.0199,0.011
,,768.75,NaN,0.0263,0.0216,NaN,0.0054,0.0045
,,771.875,NaN,0.091,0.0407,NaN,0.0188,0.0084
,,775,NaN,0.103,0.1245,NaN,0.0212,0.0256
,,778.125,NaN,0.0814,0.0551,NaN,0.0166,0.0113
,,781.25,NaN,0.1126,0.0886,NaN,0.0229,0.018
,,784.375,0,0.091,0.1413,0,0.0185,0.0287
,,787.5,0.1748,0.091,0.0766,0.0353,0.0184,0.0155
,,790.625,0.0766,0.0431,0.0144,0.0154,0.0087,0.0029
,,793.75,0.0862,0.0335,0.0431,0.0173,0.0067,0.0086
,,796.875,0,0.1078,0.0407,0,0.0215,0.0081
,,800,0.1509,0.0407,0.0479,0.03,0.0081,0.0095
,,803.125,0.0671,0.0311,0.0335,0.0133,0.0062,0.0066
,,806.25,0.0742,0.0503,0.0359,0.0146,0.0099,0.0071
,,809.375,0.1245,0.0695,0.0168,0.0245,0.0137,0.0033
,,812.5,0.1198,0.0287,NaN,0.0235,0.0056,NaN
,,815.625,0.0144,0.0862,NaN,0.0028,0.0168,NaN
,,818.75,0.0695,0.0623,NaN,0.0135,0.0121,NaN
,,821.875,0.194,0.012,NaN,0.0376,0.0023,NaN
,,825,0.0982,0.0695,NaN,0.0189,0.0134,NaN
,,828.125,0.0287,0.0359,NaN,0.0055,0.0069,NaN
,,831.25,0.2635,0.0575,NaN,0.0505,0.011,NaN
,,834.375,0.1245,NaN,NaN,0.0237,NaN,NaN
,,837.5,0.0623,NaN,NaN,0.0118,NaN,NaN
,,840.625,0.0886,NaN,NaN,0.0168,NaN,NaN
,,843.75,0.1102,NaN,NaN,0.0208,NaN,NaN
,,846.875,0.2251,NaN,NaN,0.0423,NaN,NaN
,,850,0.1389,NaN,0.115,0.026,NaN,0.0215
,,853.125,0.2156,NaN,0.0359,0.0402,NaN,0.0067
,,856.25,0.1533,NaN,0.0335,0.0285,NaN,0.0062
,,859.375,0.0766,NaN,0.0479,0.0142,NaN,0.0089
,,862.5,0.1006,NaN,0.0575,0.0186,NaN,0.0106
,,865.625,0.0862,NaN,0.0479,0.0158,NaN,0.0088
,,868.75,0.0886,NaN,0.0216,0.0162,NaN,0.004
,,871.875,0.0599,0.0359,0.0263,0.0109,0.0066,0.0048
,,875,0.0695,0.1317,0.0455,0.0126,0.024,0.0083
,,878.125,0.1748,0.0263,0.0623,0.0317,0.0048,0.0113
,,881.25,0.2299,0.1293,0.0671,0.0415,0.0234,0.0121
,,884.375,0.2179,0.0144,NaN,0.0392,0.0026,NaN
,,887.5,0.1198,0.0695,NaN,0.0215,0.0125,NaN
,,890.625,0.1413,0.103,NaN,0.0253,0.0184,NaN
,,893.75,0.1988,0.0934,NaN,0.0354,0.0166,NaN
,,896.875,0.1006,0.0263,NaN,0.0179,0.0047,NaN
,,900,0.0072,0.0838,NaN,0.0013,0.0148,NaN
,,903.125,0.2203,0.0766,NaN,0.0388,0.0135,NaN
,,906.25,0.1509,0.0527,NaN,0.0265,0.0093,NaN
,,909.375,0.0551,0.0263,NaN,0.0096,0.0046,NaN
,,912.5,0.0886,0.0144,NaN,0.0155,0.0025,NaN
,,915.625,0.1724,0.0455,NaN,0.03,0.0079,NaN
,,918.75,0.0695,0.0383,NaN,0.012,0.0066,NaN
,,921.875,0.2491,0.1269,0.1317,0.043,0.0219,0.0227
,,925,0.091,0.0766,0.091,0.0157,0.0132,0.0157
,,928.125,NaN,0.0695,0.1605,NaN,0.0119,0.0275
,,931.25,NaN,0.0623,0.103,NaN,0.0106,0.0176
,,934.375,NaN,0.1389,0.024,NaN,0.0237,0.0041
,,937.5,NaN,0.0719,0.1174,NaN,0.0122,0.0199
,,940.625,NaN,0.0575,0.0647,NaN,0.0097,0.0109
,,943.75,NaN,0.1245,0.0742,NaN,0.021,0.0125
,,946.875,NaN,0.1006,0.0479,NaN,0.0169,0.0081
,,950,NaN,0.103,0.0551,NaN,0.0173,0.0092
,,953.125,NaN,0.0886,0.0599,NaN,0.0148,0.01
,,956.25,NaN,0.0527,0.0742,NaN,0.0088,0.0123
,,959.375,NaN,0.0623,0.0695,NaN,0.0103,0.0115
,,962.5,NaN,0.0216,0.079,NaN,0.0036,0.0131
,,965.625,NaN,0.1461,0.1174,NaN,0.0241,0.0193
,,968.75,NaN,0.0431,0.0862,NaN,0.0071,0.0142
,,971.875,NaN,0.0335,0.0695,NaN,0.0055,0.0114
,,975,NaN,0.1006,0.0814,NaN,0.0164,0.0133
,,978.125,NaN,0.1126,0.1437,NaN,0.0183,0.0234
,,981.25,NaN,0.0742,0.0527,NaN,0.012,0.0085
,,984.375,NaN,0.0479,0.0431,NaN,0.0077,0.007
,,987.5,NaN,0.1365,0.0814,NaN,0.022,0.0131
,,990.625,NaN,0.0886,0.2012,NaN,0.0142,0.0323
,,993.75,NaN,0.0838,0.0335,NaN,0.0134,0.0054
,,996.875,NaN,0.0742,0.0383,NaN,0.0118,0.0061
,,1000,0,0.0431,0.0766,0,0.0069,0.0122
,,1003.125,0.1581,0.0934,0.0695,0.0251,0.0148,0.011
,,1006.25,0.0719,0.1174,0.1485,0.0114,0.0186,0.0235
,,1009.375,0.0623,0.1054,0.0934,0.0098,0.0166,0.0147
,,1012.5,0.1293,0.0814,0.0886,0.0203,0.0128,0.0139
,,1015.625,0.1269,NaN,0.0934,0.0199,NaN,0.0146
,,1018.75,0.194,NaN,0.2347,0.0303,NaN,0.0367
,,1021.875,0.1365,NaN,0.1102,0.0213,NaN,0.0172
,,1025,0.0551,NaN,0.1365,0.0086,NaN,0.0212
,,1028.125,0.3066,NaN,0.2874,0.0475,NaN,0.0445
,,1031.25,0.2156,NaN,0.2203,0.0333,NaN,0.034
,,1034.375,0.091,NaN,0.1844,0.014,NaN,0.0284
,,1037.5,0.0287,NaN,0.0359,0.0044,NaN,0.0055
,,1040.625,0.1054,NaN,0.0695,0.0161,NaN,0.0106
,,1043.75,0.1365,NaN,0.1796,0.0208,NaN,0.0274
,,1046.875,0.0599,NaN,0.1006,0.0091,NaN,0.0153
,,1050,0.3736,NaN,0.388,0.0566,NaN,0.0588
,,1053.125,0.2635,NaN,0.17,0.0398,NaN,0.0257
,,1056.25,0.0814,NaN,0.0862,0.0123,NaN,0.013
,,1059.375,0.1916,NaN,0.2659,0.0288,NaN,0.0399
,,1062.5,0.1772,NaN,0.2922,0.0265,NaN,0.0438
,,1065.625,0.182,NaN,NaN,0.0272,NaN,NaN
,,1068.75,0.1198,NaN,NaN,0.0178,NaN,NaN
,,1071.875,0.0742,NaN,NaN,0.011,NaN,NaN
,,1075,0.206,NaN,NaN,0.0305,NaN,NaN
,,1078.125,0.1078,NaN,NaN,0.0159,NaN,NaN
,,1081.25,0.0766,NaN,NaN,0.0113,NaN,NaN
,,1084.375,0.0671,NaN,NaN,0.0098,NaN,NaN
,,1087.5,0.1437,0.0862,NaN,0.021,0.0126,NaN
,,1090.625,0.0982,0.1126,NaN,0.0143,0.0164,NaN
,,1093.75,0.0766,0.0551,NaN,0.0111,0.008,NaN
,,1096.875,0.0551,0.1581,NaN,0.008,0.0229,NaN
,,1100,0.1437,0.1317,0,0.0208,0.0191,0
,,1103.125,0.0862,0.0168,0.1198,0.0124,0.0024,0.0173
,,1106.25,0.1653,0.0527,0.1341,0.0238,0.0076,0.0193
,,1109.375,0.0647,0.0479,0.0647,0.0093,0.0069,0.0093
,,1112.5,0.0359,0.0623,0.0599,0.0051,0.0089,0.0086
,,1115.625,0.1653,0.0527,0.2227,0.0236,0.0075,0.0318
,,1118.75,0.0431,0.0311,0.1102,0.0061,0.0044,0.0157
,,1121.875,0.103,NaN,0.0623,0.0146,NaN,0.0088
,,1125,0.1054,NaN,0.1533,0.0149,NaN,0.0217
,,1128.125,0.024,NaN,0.1293,0.0034,NaN,0.0182
,,1131.25,0.0766,NaN,0.0431,0.0108,NaN,0.0061
,,1134.375,0.0671,NaN,0.0862,0.0094,NaN,0.0121
,,1137.5,0.012,NaN,0.0695,0.0017,NaN,0.0097
,,1140.625,0.0623,NaN,0.0072,0.0087,NaN,0.001
,,1143.75,0.0766,NaN,0.1653,0.0107,NaN,0.023
,,1146.875,0.0886,NaN,0.0719,0.0123,NaN,0.01
,,1150,0.0503,NaN,0.1126,0.007,NaN,0.0156
,,1153.125,0.0383,NaN,0.0527,0.0053,NaN,0.0073
,,1156.25,0.1724,NaN,0.115,0.0237,NaN,0.0158
,,1159.375,0.0479,0.0551,0.0359,0.0066,0.0076,0.0049
,,1162.5,0.0838,0.1509,0.1102,0.0115,0.0207,0.0151
,,1165.625,0.0623,0.1006,0.0335,0.0085,0.0137,0.0046
,,1168.75,0.0886,0.0862,0.0551,0.0121,0.0117,0.0075
,,1171.875,0,0.0479,NaN,0,0.0065,NaN
,,1175,0.0719,0.0072,NaN,0.0097,0.001,NaN
,,1178.125,0.012,0.0335,NaN,0.0016,0.0045,NaN
,,1181.25,0.0814,0.0479,NaN,0.011,0.0065,NaN
,,1184.375,0.0527,0.0311,NaN,0.0071,0.0042,NaN
,,1187.5,0.0263,0.0335,NaN,0.0035,0.0045,NaN
,,1190.625,0.0335,0.0311,NaN,0.0045,0.0042,NaN
,,1193.75,0.0838,NaN,NaN,0.0112,NaN,NaN
,,1196.875,0.0551,NaN,NaN,0.0073,NaN,NaN
,,1200,0.0671,NaN,NaN,0.0089,NaN,NaN
,,1203.125,0.024,NaN,NaN,0.0032,NaN,NaN
,,1206.25,0.0551,NaN,NaN,0.0073,NaN,NaN
,,1209.375,0.0742,NaN,0.1653,0.0098,NaN,0.0218
,,1212.5,0.0144,NaN,0.0551,0.0019,NaN,0.0072
,,1215.625,0.0719,NaN,0.0527,0.0094,NaN,0.0069
,,1218.75,0.024,NaN,0.0168,0.0031,NaN,0.0022
,,1221.875,0.0263,NaN,0.0359,0.0034,NaN,0.0047
,,1225,0.0192,NaN,0.0719,0.0025,NaN,0.0093
,,1228.125,0.0407,NaN,0.0551,0.0053,NaN,0.0071
,,1231.25,0.024,0.0287,0.0383,0.0031,0.0037,0.005
,,1234.375,0.024,0.0311,0.0144,0.0031,0.004,0.0019
,,1237.5,0.0742,0.0168,0.0862,0.0095,0.0022,0.0111
,,1240.625,0.0359,0.0335,0.0551,0.0046,0.0043,0.0071
,,1243.75,0.0072,0.0287,0.012,0.0009,0.0037,0.0015
,,1246.875,0.0407,0.0287,0.0838,0.0052,0.0037,0.0107
,,1250,0.079,0.0072,0.0982,0.0101,0.0009,0.0125
,,1253.125,NaN,0.0599,0.0431,NaN,0.0076,0.0055
,,1256.25,NaN,0.0383,0.0383,NaN,0.0049,0.0049
,,1259.375,NaN,0.0168,0.0359,NaN,0.0021,0.0045
,,1262.5,NaN,0.0431,0.0072,NaN,0.0054,0.0009
,,1265.625,NaN,0.0407,0.0263,NaN,0.0051,0.0033
,,1268.75,NaN,0.0144,0.0527,NaN,0.0018,0.0066
,,1271.875,NaN,0.0479,0.0719,NaN,0.006,0.009
,,1275,NaN,0.0072,0.0551,NaN,0.0009,0.0069
,,1278.125,NaN,0.012,0.0263,NaN,0.0015,0.0033
,,1281.25,NaN,0.0168,0.024,NaN,0.0021,0.003
,,1284.375,NaN,0.0383,0.0479,NaN,0.0047,0.0059
,,1287.5,NaN,0.0216,0.0671,NaN,0.0027,0.0083
,,1290.625,NaN,0.0359,0.0455,NaN,0.0044,0.0056
,,1293.75,NaN,0.024,0.0216,NaN,0.003,0.0027
,,1296.875,NaN,0.0144,0.0431,NaN,0.0018,0.0053
,,1300,NaN,0.0431,0.0192,NaN,0.0053,0.0024
,,1303.125,NaN,NaN,0.0072,NaN,NaN,0.0009
